study;.g;.g_se;disorder;country;intervention;control;rob;year;percent_women;mean_age;recruitment;guidance;modality
Arjadi, 2018;0,388644587;0,1141283;dep;asia;ba;other;high;2018;0,81;24,5;com;gsh;web
Baumeister, 2021;0,279126138;0,139021382;dep;aa-eu;aa-cbt;cau;high;2021;0,6;49,9;oth;gsh;web
Baumeister, 2021;0,213812285;0,138742062;dep;aa-eu;aa-cbt;cau;high;2021;0,6;49,9;oth;gsh;web
Baumeister, 2021;0,445813727;0,140064774;dep;aa-eu;aa-cbt;cau;high;2021;0,6;49,9;oth;gsh;web
Berger, 2011;1,125274725;0,302103725;dep;aa-eu;aa-cbt;wl;high;2011;0,7;38,8;com;gsh;web
Carlbring, 2013;0,85458136;0,233781487;dep;aa-eu;thirdwave;wl;high;2013;0,83;44,4;com;gsh;web
Carlbring, 2013;0,633042612;0,229245878;dep;aa-eu;thirdwave;wl;high;2013;0,83;44,4;com;gsh;web
Choi, 2012;0,893493188;0,264581568;dep;aus;aa-cbt;wl;high;2012;0,8;39;com;gsh;web
Choi, 2012;0,48051375;0,255708136;dep;aus;aa-cbt;wl;high;2012;0,8;39;com;gsh;web
Choi, 2012;0,275553918;0,25323081;dep;aus;aa-cbt;wl;high;2012;0,8;39;com;gsh;web
Forsell, 2017;1,210985669;0,350381576;dep;aa-eu;aa-cbt;cau;high;2017;1;31,01;com;gsh;web
Forsell, 2017;0,518820862;0,339654996;dep;aa-eu;aa-cbt;cau;high;2017;1;31,01;com;gsh;web
Garcia, 2023;0,366978617;0,300804081;dep;aa-eu;thirdwave;other;high;2023;0,75;48,15;com;gsh;web
Johansson, 2012a;1,111149204;0,224280843;dep;aa-eu;dyn;wl;high;2012;0,75;45,6;com;gsh;web
Johansson, 2012a;0,936806809;0,219837643;dep;aa-eu;dyn;wl;high;2012;0,75;45,6;com;gsh;web
Johansson, 2012a;0,849254523;0,217863141;dep;aa-eu;dyn;wl;high;2012;0,75;45,6;com;gsh;web
Johansson, 2012b;0,826122033;0,240964596;dep;aa-eu;aa-cbt;wl;high;2012;0,71;44,7;com;gsh;web
Johansson, 2012b;0,790395737;0,240147577;dep;aa-eu;aa-cbt;wl;high;2012;0,71;44,7;com;gsh;web
Johansson, 2012b;0,569112985;0,239413877;dep;aa-eu;aa-cbt;wl;high;2012;0,71;44,7;com;gsh;web
