study;.guidance;.type_digital;condition_arm1;condition_arm2;multi_arm1;multi_arm2;.g;.g_se;outcome_type;instrument;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;mean_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;dich_paper;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;other_stat;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;year;mean_age;percent_women;recruitment;diagnosis;target_group;rob
Arjadi, 2018;gsh;internet;bat;other ctr;;;0,388644587;0,1141283;msd;phq-9;self-report;8,5;5,75;159;10,83;6,21;154;;;;;;;;;;;;;;;;;17.92;5.38;159;18.01;5.05;154;159;154;39;9;2018;24.5;0.81;com;mood;adul;Some concerns
Baumeister, 2021;gsh;internet;cbt;cau;;;0,279126138;0,139021382;msd;qids;clinician;7,29;4,27;104;8,56;4,78;105;;;;;;;;;;104;105;;;;;;12.12;3.79;104;12.24;3.8;105;104;105;11;15;2021;49.9;0.6;oth;mdd;med;Some concerns
Baumeister, 2021;gsh;internet;cbt;cau;;;0,213812285;0,138742062;msd;hdrs-17;clinician;9,67;6,41;104;11,14;7,26;105;;;;;;;;;;104;105;;;;;;14.4;5.45;104;14.61;5.32;105;104;105;11;15;2021;49.9;0.6;oth;mdd;med;Some concerns
Baumeister, 2021;gsh;internet;cbt;cau;;;0,445813727;0,140064774;msd;phq-9;self-report;8,92;4,71;104;11,29;5,82;105;;;;;;;;;;104;105;;;;;;12.69;4.18;104;13;4.33;105;104;105;22;22;2021;49.9;0.6;oth;mdd;med;Some concerns
Berger, 2011;gsh;internet;cbt;wl;cbt (guided i-cbt);wl;1,125274725;0,302103725;msd;bdi-2;self-report;17,3;10,2;25;28,5;9,4;26;;;;;;;;;;;;;;;;;28.8;8.2;25;29.8;8.6;26;25;26;0;4;2011;38.8;0.7;com;mood;adul;Some concerns
Carlbring, 2013;gsh;internet;3rd;wl;;;0,85458136;0,233781487;msd;bdi-2;self-report;16,65;8,04;40;23,43;7,67;40;;;;;;;;;;;;;;;;;26.32;5.97;40;25.13;5.19;40;40;40;0;2;2013;44.4;0.83;com;mdd;adul;Some concerns
Carlbring, 2013;gsh;internet;3rd;wl;;;0,633042612;0,229245878;msd;madrs-s;self-report;12,6;6,34;40;16,73;6,58;40;;;;;;;;;;;;;;;;;21.45;3;40;23;3.72;40;40;40;0;2;2013;44.4;0.83;com;mdd;adul;Some concerns
Choi, 2012;gsh;internet;cbt;wl;;;0,893493188;0,264581568;msd;bdi-1;self-report;13,48;9,28;32;21,27;7,86;31;;;;;;;;;;;;;;;;;25.76;8.53;32;20.83;7.58;31;32;31;9;3;2012;39;0.8;com;mdd;oth;Some concerns
Choi, 2012;gsh;internet;cbt;wl;;;0,48051375;0,255708136;msd;phq-9;self-report;7,96;4,76;32;10,03;3,66;31;;;;;;;;;;;;;;;;;12.28;5;32;9.93;3.79;31;32;31;9;3;2012;39;0.8;com;mdd;oth;Some concerns
Choi, 2012;gsh;internet;cbt;wl;;;0,275553918;0,25323081;msd;k-10;self-report;22,6;7,15;32;24,5;6,44;31;;;;;;;;;;;;;;;;;28.4;7.49;32;24.9;6.51;31;32;31;9;3;2012;39;0.8;com;mdd;oth;Some concerns
Forsell, 2017;gsh;internet;cbt;cau;;;1,210985669;0,350381576;msd;madrs-s;self-report;14,3;4,6;21;21,1;6,4;18;;;;;;;;;;;;;;;;;24.2;5.2;22;24.4;5.9;20;22;20;1;2;2017;31.01;1;com;mdd;ppd;Some concerns
Forsell, 2017;gsh;internet;cbt;cau;;;0,519783424;0,326778534;msd;epds;self-report;12,4;4,9;19;15;4,9;17;;;;;;;;;;;;;;;;;16.3;3.9;22;18.5;4.5;20;22;20;3;3;2017;31.01;1;com;mdd;ppd;Some concerns
Garcia, 2023;gsh;internet;3rd;other ctr;;;0,366978617;0,300804081;msd;bdi-2;self-report;19,95;12;22;24,87;14,2;23;;;;;;;;;;;;;;;;;34.59;11.76;29;37.26;11.5;31;29;31;7;8;2023;48.15;0.75;com;chr;adul;some concerns
Johansson, 2012a;gsh;internet;dyn;wl;;;1,111149204;0,224280843;msd;bdi-2;self-report;11,48;7,8;46;20,22;7,8;46;;;;;;;;;;;;;;;;;26.54;5.8;46;26.33;6.7;46;46;46;4;0;2012;45.6;0.75;com;mdd;adul;Some concerns
Johansson, 2012a;gsh;internet;dyn;wl;;;0,936806809;0,219837643;msd;phq-9;self-report;6,24;5;46;10,87;4,8;46;;;;;;;;;;;;;;;;;12.61;4.1;46;13.3;4.3;46;46;46;4;0;2012;45.6;0.75;com;mdd;adul;Some concerns
Johansson, 2012a;gsh;internet;dyn;wl;;;0,849254523;0,217863141;msd;madrs-s;self-report;12,5;7,8;46;18,61;6,4;46;;;;;;;;;;;;;;;;;23.07;4.6;46;23.48;5.1;46;46;46;4;0;2012;45.6;0.75;com;mdd;adul;Some concerns
Johansson, 2012b;gsh;internet;cbt;wl;cbt (tailored i-cbt);wl;0,826122033;0,240964596;msd;bdi-2;self-report;13,78;9,4;36;21,67;9,5;39;;;;;;;;;;;;;;;;;26.44;7.6;36;26.24;7.9;42;;;3;3;2012;44.7;0.71;com;mdd;adul;Some concerns
Johansson, 2012b;gsh;internet;cbt;wl;cbt (tailored i-cbt);wl;0,790395737;0,240147577;msd;madrs-s;self-report;13,81;6,8;36;19,67;7,8;39;;;;;;;;;;;;;;;;;22.86;3.9;36;23.4;4.7;42;;;3;3;2012;44.7;0.71;com;mdd;adul;Some concerns
Johansson, 2012b;gsh;internet;cbt;wl;cbt (standardized i-cbt);wl;0,569112985;0,239413877;msd;madrs-s;self-report;15,21;7,7;34;19,67;7,8;39;;;;;;;;;;;;;;;;;22.46;5.7;37;23.4;4.7;42;;;6;3;2012;44.7;0.71;com;mdd;adul;Some concerns
Johansson, 2012b;gsh;internet;cbt;wl;cbt (standardized i-cbt);wl;0,559052328;0,239247966;msd;bdi-2;self-report;16,06;10,4;34;21,67;9,5;39;;;;;;;;;;;;;;;;;25.3;8;37;26.24;7.9;42;;;6;3;2012;44.7;0.71;com;mdd;adul;Some concerns
Johansson, 2019a;gsh;internet;cbt;wl;;;1,585922775;0,313133358;msd;madrs-sr;self-report;13,6;6,1;27;23,1;5,7;27;;;;;;;;;;;;;;;;;26.2;8.7;27;23.4;5.1;27;;;4;0;2019;39;0.57;clin;mdd;adul;Some concerns
Johansson, 2019a;gsh;internet;cbt;wl;;;1,537862279;0,310839533;msd;hads-d;self-report;6,2;3,6;27;11,1;2,6;27;;;;;;;;;;;;;;;;;12.3;4.1;27;11.7;3.7;27;;;4;0;2019;39;0.57;clin;mdd;adul;Some concerns
Kenter, 2016;gsh;internet;pst;wl;;;-0,073120046;0,121990705;msd;ces-d;self-report;27;15,1;136;25,9;14,9;133;;;;;;;;;;;;;;;;;37;11.6;136;35.2;12.1;133;136;133;42;43;2016;38;0.54;clin;mdd;adul;High risk
