study;.guided;.type_digital;year;condition_arm1;condition_arm2;multi_arm1;multi_arm2;instrument;diagnosis;diagnosis_instrument;baseline_mean_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_mean_arm2;baseline_sd_arm2;baseline_n_arm2;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;attr_arm1;attr_arm2;prop_women_arm1;prop_women_arm2;mean_age_arm1;mean_age_arm2;rob;.g;.g_se;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2
Bernstein, 2017;ush;web-based;2017;CBT;WL;Intervention;Control;ISI;formal;DSM;17;5,01844785;43;16,6;4,107063632;45;9,8;5,68757423;43;15,3;4,449318935;45;15;43;2;45;18;10;0,88372093;0,8;54,9;53,6;high;-1,070718754;0,228270343;2,060365395;0,721933952;15;2;43;45
Chan, 2021;ush;mobile-based;2021;CBT;WL;Tx;WL;ISI;formal;ICD;18,41;4,28;167;18,52;4,46;153;12,25;4,5;102;16,99;4,89;138;25;167;6;153;65;15;0,652694611;0,810457516;27,28;27,26;high;-0,999285384;0,138361277;1,339560465;0,440616267;25;6;167;153
Cheng, 2019;ush;web-based;2019;CBT;Psychoeducation;dCBT-I;Sleep education;ISI;formal;DSM;17,9;4,3;358;17,7;4,4;300;7,8;5,676266379;358;13,2;5,196152423;300;193;946;42;439;588;139;0,294926004;0,546697039;44,5;45,7;high;-0,987397003;0,082880472;0,757277415;0,160174543;193;42;946;439
Christensen, 2016;ush;web-based;2024;CBT;Placebo;SHUTi;HealthWatch;ISI;formal;DSM and ICD :);15,92;4,18;574;16,23;4,32;575;7,3;4,72;248;13,2;5,47;333;;574;;575;326;242;0,74;0,74;42,95;42,51;low;;;;;;;;
Dekker, 2020;gsh;web-based;2020;CBT;WL;ICBTI w 1-4;ICBTI w 6-9;ISI;formal;DSM;16,6;3,9;87;16,1;4;88;11,4;4,6;81;15,1;4,4;82;16;87;3;88;3;5;0,747126437;0,829545455;51,3;50,6;some concerns;-0,81829694;0,163138348;1,685405129;0,610717156;16;3;87;88
Espie, 2012;ush;web-based;2012;CBT;WL;CBT;TAU;other_self_reported_scales;formal;DSM;-3,06;1,038267788;55;-2,79;1,175755077;54;-6,3;2,447345501;55;-3,78;1,910601999;54;31;55;7;54;15;7;0,727272727;0,703703704;50,7;49,1;some concerns;-1,138479935;0,206713208;1,469727917;0,372041491;31;7;55;54
Espie, 2012;ush;web-based;2012;CBT;WL;CBT;IRT;other_self_reported_scales;formal;DSM;-3,06;1,038267788;55;-3;0,964105803;55;-6,3;2,447345501;55;-4,48;1,779887637;55;31;55;11;55;15;17;0,727272727;0,763636364;50,7;47,3;some concerns;-0,844625951;0,199127973;1,036091932;0,294624369;31;11;55;55
Espie, 2019;ush;web-based;2019;CBT;Psychoeducation;dCBT;SHE;SCI;formal;DSM;-6,5;3,2;858;-6,6;3,3;853;-16,29;6,17;858;-11,05;5,32;853;417;858;130;853;385;341;0,762237762;0,791324736;48,4;47,7;some concerns;-0,909016982;0,050788942;1,159707219;0,088048595;417;130;858;853
Felder, 2020;ush;web-based;2020;CBT;WL;digital CBTI;Standard treatment;ISI;formal;DSM;14,52;3,26;105;14,19;3,72;103;8,62;4,9;105;11,89;4,9;103;38;105;26;103;14;9;1;1;33,9;33,2;some concerns;-0,664914325;0,142488964;0,36025826;0,213412231;38;26;105;103
Gieselmann, 2019;gsh;web-based;2019;Behavior Therapy;WL;Chat;WL;PSQI;formal;DSM;12;2,7;23;11,41;3,2;22;6,76;2,51;21;11,17;3,24;18;12;23;2;22;2;4;0,565217391;0,545454545;39,74;42,74;some concerns;-1,505978014;0,36534269;1,747307707;0,703136208;12;2;23;22
Hagatun, 2019;ush;web-based;2019;CBT;Psychoeducation;SHUTi;Patient education;ISI;formal;DSM;17,4;3,630250315;95;18;3,643274212;86;8,73;5,148670652;77;15,75;5,100705772;65;40;95;5;86;18;21;0,642105263;0,709302326;45;44,8;some concerns;-1,361926781;0,187011875;1,979911946;0,450384033;40;5;95;86
Hall, 2022;gsh;web-based;2022;CBT;Psychoeducation;CBTI;EUC;ISI;formal;DSM;18,1;4,6;20;17,9;3,8;20;8,7;4,9;19;14,3;4,9;19;8;20;2;20;;;0,9;0,8;51,2;55,3;some concerns;-1,118881119;0,349927106;1,386294361;0,724568837;8;2;20;20
Horsch, 2017;ush;mobile-based;2017;Behavior Therapy;WL;App;Wl;ISI;formal;DSM;16,4;3,1;74;16,4;3,3;79;9,9;4,9;74;13,2;4,5;79;17;74;6;79;29;17;0,608108108;0,620253165;39;41;high;-0,698986627;0,166686599;1,106836634;0,446450954;17;6;74;79
Krieger, 2019;gsh;web-based;2019;CBT;WL;MCT;CAU;ISI;formal;ICSD;16,2;3,75;41;17,43;3,83;21;9,08;5,250561875;41;14,67;4,949181751;21;16;42;1;21;5;1;0,619047619;0,80952381;42,17;45,24;high;-1,071383385;0,285487457;2,079441542;0,995525705;16;1;42;21
Krieger, 2019;gsh;web-based;2019;Behavior Therapy;WL;SRT;CAU;ISI;formal;ICSD;17,37;3,44;41;17,43;3,83;21;11,34;5,250561875;41;14,67;4,949181751;21;10;41;1;21;7;1;0,682926829;0,80952381;46,59;45,24;high;-0,638230174;0,274551126;1,633535464;1,013898766;10;1;41;21
Kyle, 2020;ush;web-based;2020;CBT;WL;dCBT;WLC;ISI;formal;DSM;18,4;3,7;205;17,9;3,6;205;10,65;5,12;155;16,19;4,33;181;42;205;4;205;50;24;0,853658537;0,87804878;52,5;52,4;high;-1,173393119;0,118467719;2,351375257;0,513861291;42;4;205;205
