study;.guidance;.type_digital;condition_arm1;condition_arm2;instrument;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;bl_mean_arm1;bl_sd_arm1;bl_n_arm1;bl_mean_arm2;bl_sd_arm2;bl_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;year;age_group;mean_age;percent_women;recruitment;target_group;rob;.g;.g_se
Anderson, 2013;gsh;VR;cbt;wlc;FNE-B;self-report;39,47;10,7;30;42,45;10,07;28;41,73;10,22;30;42,64;9,74;28;30;28;14;3;2013;adul;39,03;0,619;com;adul;High;0,282656099;0,264112242
Anderson, 2013;gsh;VR;cbt;wlc;PRCS;self-report;16,23;7,61;30;23,57;4,28;28;24,37;2,54;30;24,53;2,73;28;30;28;14;3;2013;adul;39,03;0,619;com;adul;High;1,162179892;0,284624273
Andersson, 2006;gsh;internet;cbt;wlc;BAI;self-report;8,7;5,8;32;13,6;10,3;32;13,6;7,3;32;13,2;6,6;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;0,579107409;0,255313269
Andersson, 2006;gsh;internet;cbt;wlc;LSAS-SR;self-report;45,6;25,1;32;62,8;21,7;32;68,5;22,5;32;66,7;20,9;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;0,724206439;0,25826118
Andersson, 2006;gsh;internet;cbt;wlc;PRCS;self-report;22,7;5,4;32;25,5;4,8;32;25,5;4,2;32;25,9;3,5;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;0,541415457;0,254650237
Andersson, 2006;gsh;internet;cbt;wlc;SIAS;self-report;27,3;13,4;32;33,9;12,6;32;44,4;16,1;32;44,8;12,8;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;0,501288764;0,25399169
Andersson, 2006;gsh;internet;cbt;wlc;SPS;self-report;20,7;14,8;32;31;15,9;32;35,8;16,7;32;32,5;13,1;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;0,662434764;0,256930146
Andersson, 2006;gsh;internet;cbt;wlc;SPSQ;self-report;20;8,5;32;28,9;7,9;32;30,4;8,7;32;30,2;7,6;32;32;32;2;0;2006;adul;37,3;0,516;com;adul;Some concerns;1,071466439;0,267751698
Andersson, 2012;gsh;internet;cbt;wlc;BAI;self-report;9,46;6,42;102;14;8,35;102;15,73;7,98;102;16,47;9,14;102;102;102;8;2;2012;adul;38,25;0,603;com;adul;Some concerns;0,607311405;0,143243115
Andersson, 2012;gsh;internet;cbt;wlc;LSAS-SR;self-report;43,74;24,33;102;63,85;23,69;102;68,23;23,33;102;66,65;21,72;102;102;102;8;2;2012;adul;38,25;0,603;com;adul;Some concerns;0,834379944;0,14603749
Andersson, 2012;gsh;internet;cbt;wlc;SIAS;self-report;33,77;15,33;102;46,02;14,67;102;49,96;15,88;102;48,88;15,28;102;102;102;8;2;2012;adul;38,25;0,603;com;adul;Some concerns;0,813433904;0,145745395
Andersson, 2012;gsh;internet;cbt;wlc;SPS;self-report;23,31;14,33;102;32,9;14,76;102;38,81;15,59;102;37,25;14,98;102;102;102;8;2;2012;adul;38,25;0,603;com;adul;Some concerns;0,656810299;0,143781435
Andersson, 2012;gsh;internet;cbt;wlc;SPSQ;self-report;18,93;10,42;102;26,76;9,65;102;30,77;8,94;102;30,54;9,07;102;102;102;8;2;2012;adul;38,25;0,603;com;adul;Some concerns;0,776796945;0,145251008
Berger, 2009;gsh;internet;cbt;wlc;LSAS-SR;self-report;52,7;21,9;31;70,7;17,2;21;68,7;16,9;31;75;17,4;21;31;21;3;2;2009;adul;28,9;0,558;com;adul;High;0,879747286;0,295886035
Berger, 2009;gsh;internet;cbt;wlc;SIAS;self-report;34,1;12,9;31;44;10,1;21;43,2;10,9;31;47,4;11,3;21;31;21;3;2;2009;adul;28,9;0,558;com;adul;High;0,822182675;0,294240479
Berger, 2009;gsh;internet;cbt;wlc;SPS;self-report;23,5;13,2;31;30,3;10,8;21;35,6;14,2;31;35,1;10,8;21;31;21;3;2;2009;adul;28,9;0,558;com;adul;High;0,544673207;0,287780628
Botella, 2010;ush;internet;cbt;wlc;Anxiety-IST-P;self-report;4,17;2,33;30;5,85;1,84;25;6,83;2,25;30;5,95;2,44;25;62;29;32;4;2016;yadul;24,4;0,792;com;adul;High;0,780384634;0,281123733
Botella, 2010;ush;internet;cbt;wlc;Anxiety-IST-T;cr;5,04;1,6;30;6,37;1,3;25;7,88;1,19;30;7,16;1,98;25;62;29;32;4;2017;yadul;24,4;0,792;com;adul;High;0,890839594;0,284178547
Botella, 2010;ush;internet;cbt;wlc;Avoidance-TB;self-report;2,97;2,22;30;7,48;2,02;25;8,57;2,03;30;8,08;1,93;25;62;29;32;4;2018;yadul;24,4;0,792;com;adul;High;2,085542987;0,337672879
Botella, 2010;ush;internet;cbt;wlc;Fear-TB;self-report;5;1,84;30;8,04;1,21;25;8,6;1,43;30;8,24;1,69;25;62;29;32;4;2020;yadul;24,4;0,792;com;adul;High;1,889484974;0,326699028
Botella, 2010;ush;internet;cbt;wlc;FNE-B;self-report;39,88;10,8;30;45,33;8,63;25;42,8;9,32;30;44,42;9,99;25;62;29;32;4;2019;yadul;24,4;0,792;com;adul;High;0,543963563;0,275864922
Botella, 2010;ush;internet;cbt;wlc;FPSQ;self-report;39,7;15,45;30;56,8;13,72;25;53,27;14,34;30;56,64;14,48;25;62;29;32;4;2021;yadul;24,4;0,792;com;adul;High;1,147361113;0,292657917
Botella, 2010;ush;internet;cbt;wlc;SADS;self-report;7,67;5,81;30;11,28;7,45;25;12,17;6,86;30;12,71;7,5;25;62;29;32;4;2022;yadul;24,4;0,792;com;adul;High;0,53892369;0,275772368
Bouchard, 2017;gsh;VR;cbt;wlc;FNE;self-report;18,1;8,5;17;25,2;4,5;20;25,6;5,5;17;24,5;4,8;20;17;20;2;4;2017;adul;34,5;0,729;com;adul;High;1,047008942;0,35255947
Bouchard, 2017;gsh;VR;cbt;wlc;LSAS-SR;self-report;51,8;23,3;17;79,3;22;20;85,1;29,5;17;79,6;24,9;20;17;20;2;4;2017;adul;34,5;0,729;com;adul;High;1,19036422;0,358923143
Bouchard, 2017;gsh;VR;cbt;wlc;SIAS;self-report;29,8;13,9;17;49,6;10,2;20;49,2;17,6;17;48,6;13,4;20;17;20;2;4;2017;adul;34,5;0,729;com;adul;High;1,609903616;0,381326554
